TYPE;STATUT;ADRESSE;ARRONDISSEMENT;HORAIRE;ACCES_PMR;RELAIS_BEBE;URL_FICHE_EQUIPEMENT;geo_shape;geo_point_2d
SANISETTE;;opposé au 17 BOULEVARD AUGUSTE BLANQUI;75013;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3533725291965792, 48.83062624643756]], ""type"": ""MultiPoint""}";48.83062624643756,2.3533725291965792
SANISETTE;;RUE DU FAUBOURG SAINT MARTIN;75010;24 h / 24;Oui;;;"{""coordinates"": [[2.3604635760802046, 48.875749513351415]], ""type"": ""MultiPoint""}";48.875749513351415,2.3604635760802046
SANISETTE;;3  RUE AMBROISE PARE;75010;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3532383458565085, 48.881814396150844]], ""type"": ""MultiPoint""}";48.881814396150844,2.3532383458565085
TOILETTES;;JARDINS DE LA PORTE DE SAINT CLOUD;75016;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/jardins-de-la-porte-de-saint-cloud-et-square-roger-coquoin-2623;"{""coordinates"": [[2.254693572298353, 48.835869491249895]], ""type"": ""MultiPoint""}";48.835869491249895,2.254693572298353
TOILETTES;;SQUARE CARPEAUX;75018;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/square-carpeaux-2646;"{""coordinates"": [[2.331619279991791, 48.891476402292284]], ""type"": ""MultiPoint""}";48.891476402292284,2.331619279991791
TOILETTES;;SQUARE DE LA TOUR SAINT-JACQUES;75004;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-de-la-tour-saint-jacques-33;"{""coordinates"": [[2.349321271888649, 48.85778654782919]], ""type"": ""MultiPoint""}";48.85778654782919,2.349321271888649
TOILETTES;;SQUARE SAMUEL ROUSSEAU;75007;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/square-samuel-rousseau-2467;"{""coordinates"": [[2.3195828826299327, 48.85917224498334]], ""type"": ""MultiPoint""}";48.85917224498334,2.3195828826299327
TOILETTES;;JARDIN CATHERINE LABOURE;75007;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardin-catherine-laboure-2465;"{""coordinates"": [[2.320485393255728, 48.85140130471326]], ""type"": ""MultiPoint""}";48.85140130471326,2.320485393255728
TOILETTES;;JARDIN SERGE GAINSBOURG;75019;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/jardin-serge-gainsbourg-6337;"{""coordinates"": [[2.408116526394868, 48.87834464094732]], ""type"": ""MultiPoint""}";48.87834464094732,2.408116526394868
TOILETTES;;JARDINS ROSA LUXEMBOURG;75018;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardins-rosa-luxemburg-17580;"{""coordinates"": [[2.3635013249014523, 48.88975238967336]], ""type"": ""MultiPoint""}";48.88975238967336,2.3635013249014523
